"WEO.Country.Code","Assets","Direct.investment","Portfolio.investment","Financial.derivatives.(other.than.reserves).and.employee.stock.options","Other.investment","Reserve.assets","Liabilities","Direct.investment","Portfolio.investment","Financial.derivatives.(other.than.reserves).and.employee.stock.options","Other.investment","Net.international.investment.position"
512,9273.7623661814,5.61225684252103,351.38691011589,NA,1453.99550930691,7462.76768991607,3843.38329578956,1354.83607988,NA,0.179786174023106,2488.36742973554,5430.37907039183
914,7352.27458530623,1406.264269,748.442623,NA,2092.59932,3104.97891430623,12439.189284272,5984.399766,644.234297,NA,5810.544680272,-5086.90415796577
612,127903.881721468,1281.88255681578,NA,NA,5413.564520075,121208.434644577,33264.038233293,19234.5987349653,NA,NA,14029.4394983278,94639.8434881751
614,87718.4698541822,21493.925143346,7401.77269742228,78.2177549706484,34392.0077335556,24352.5465248876,90246.4853965474,35002.3954822202,1563.5,0,53680.5899143272,-2528.01554236532
312,1511.47316379857,71.6354953540741,42.194535862963,0,1342.09202147043,55.5511111111111,1896.74331764172,556.282707211852,1115.49632777778,0,224.964282652089,-385.270153843144
311,1471.79466659059,87.4260008566667,113.74366342963,0,940.533893790493,330.0911085138,2328.66904824607,771.117579766533,19.6257342333333,0,1537.9257342462,-856.874381655478
213,291171.584165075,39735.1156787337,44031.2050220936,0,168097.880991527,39307.3824727199,240139.930377051,70855.4662090656,100183.52888288,2981.49313636376,66119.4421487419,51031.6537880235
911,5206.04523162342,567.989794686089,65.0606570466174,5.76834994406331,2363.11246233493,2204.11396761172,13575.112811108,4634.83920971202,1068.15461020457,5.18593764309625,7866.93305354832,-8369.06757948459
314,2946.47541899441,646.624022346369,741.787709497207,NA,621.102793296089,936.960893854749,5878.59720670391,4021.3407821229,1187.50837988827,20.186592178771,649.561452513966,-2932.1217877095
193,1685135.75829029,475432.696800001,687239.100000001,143489.88,323905.068000001,55069.7370902854,2384938.58449866,649550.394000001,1208446.7328,156445.938,370494.796098662,-699802.826208377
122,890114.682871189,291183.5299,308273.6532,7217.4227,260080.2012,23358.8217711885,876375.979106036,244292.9455,402006.3334,7529.4363,222547.263906037,13738.703765152
912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,128603.135883808,19004.2553191489,40143.3510638298,NA,67008.7765957447,2446.75290508502,97905.9976206557,26055.3191489362,13170.2127659575,NA,59106.5295355493,30697.1382631527
513,38496.3084381489,736.959322611058,2836.66309201013,NA,2643.84578830071,32278.840235227,57307.3061287155,14541.1130819723,4287.54413472559,0,38478.6489120176,-18810.9976905666
316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
913,13541.7354690443,799.2,46.6,1,7767.7,4927.23546904434,54364.3786225571,18650,1526.2,2,34186.1786225571,-40822.6431535127
124,2354425.20504644,1080287.0063,694615.0065,18325.5285,537631.0558,23565.5538464421,2099169.21840985,985285.1897,643699.8683,19252.0824,450931.023909854,255254.932536588
126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
638,2716.24212138654,184.999413479757,1124.27852774899,0,1141.64678321542,265.317396942371,5871.52943502153,1694.89028205425,803.136115815129,0,3373.50303715215,-3155.287313635
319,17224.0814741148,915.561094447667,13341.1641314616,121.54058352339,2692.59046168208,153.225203,13506.2057513151,2600.48730862553,1524.22284676793,23.488307,9358.00728892168,3717.87572279963
